Step,train_loss
0,3.362960815
1,3.384104729
2,3.375388861
3,3.389015913
4,3.384534836
5,3.38256216
6,3.39160943
7,3.38476181
8,3.382901192
9,3.424224138
10,3.382902384
11,3.373195171
12,3.380816221
13,3.354771852
14,3.347153664
15,3.360647202
16,3.382144928
17,3.374346018
18,3.377443314
19,3.404423237
20,3.400800705
21,3.435286283
22,3.360550165
23,3.377447128
24,3.409003973
25,3.36340332
26,3.381620646
27,3.377752066
28,3.355167389
29,3.387164354
30,3.389495611
31,3.325889349
32,3.359231234
33,3.347203255
34,3.336979389
35,3.328026056
36,3.365698576
37,3.381233692
38,3.328863621
39,3.345719337
40,3.352653027
41,3.36301136
42,3.379678249
43,3.360849619
44,3.360004902
45,3.394328356
46,3.347074986
47,3.350802183
48,3.369492531
49,3.36550498
50,3.325321436
51,3.314338207
52,3.334741831
53,3.321652889
54,3.339066267
55,3.337387085
56,3.3818717
57,3.313711166
58,3.334287167
59,3.333892822
60,3.325471401
61,3.366984844
62,3.331556082
63,3.367515564
64,3.311126709
65,3.333939791
66,3.342111588
67,3.351233721
68,3.30978632
69,3.334495068
70,3.31131959
71,3.322836399
72,3.343096495
73,3.313662052
74,3.34383297
75,3.28880167
76,3.332446337
77,3.29143858
78,3.313046932
79,3.298636436
80,3.339850903
81,3.317205906
82,3.301056147
83,3.302782059
84,3.300644398
85,3.28912735
86,3.31528616
87,3.324753284
88,3.279669762
89,3.309222698
90,3.304009438
91,3.319311142
92,3.304925919
93,3.285711765
94,3.280783653
95,3.323332787
96,3.319977283
97,3.288291454
98,3.336066484
99,3.280532837
100,3.279678345
101,3.263026476
102,3.27005434
103,3.284621716
104,3.278649807
105,3.294201374
106,3.276409149
107,3.27434659
108,3.261628151
109,3.306132555
110,3.281658411
111,3.254364252
112,3.286203384
113,3.247494221
114,3.266530037
115,3.249124527
116,3.271096706
117,3.272866488
118,3.256107569
119,3.288898706
120,3.292127609
121,3.231878281
122,3.277840614
123,3.256863117
124,3.263825178
125,3.266584635
126,3.247267485
127,3.295866489
128,3.264628887
129,3.245106697
130,3.236061573
131,3.277794838
132,3.265558004
133,3.270970106
134,3.258063793
135,3.275996923
136,3.26305294
137,3.25556922
138,3.253471375
139,3.242642879
140,3.260343552
141,3.237701416
142,3.251224279
143,3.226260662
144,3.271023512
145,3.251047373
146,3.221207857
147,3.216302872
148,3.222610235
149,3.211417437
150,3.220289469
151,3.238293171
152,3.263641834
153,3.201239586
154,3.230852604
155,3.243081093
156,3.211720467
157,3.241913319
158,3.235975266
159,3.247453928
160,3.16527319
161,3.240341425
162,3.222088814
163,3.193724632
164,3.172438145
165,3.212230682
166,3.211634398
167,3.258894444
168,3.209781647
169,3.212300062
170,3.204324722
171,3.193536997
172,3.184980392
173,3.194669724
174,3.172205448
175,3.199499846
176,3.238788605
177,3.171803951
178,3.161932945
179,3.1989007
180,3.207484722
181,3.217489481
182,3.204083443
183,3.228509903
184,3.171999454
185,3.17661953
186,3.171529293
187,3.196176291
188,3.212079763
189,3.176023006
190,3.192810774
191,3.19264698
192,3.139430046
193,3.177599669
194,3.193361282
195,3.194309711
196,3.158905029
197,3.187038183
198,3.141803741
199,3.185516357
200,3.146901369
201,3.156873941
202,3.153683186
203,3.159715176
204,3.15116024
205,3.148804665
206,3.141633272
207,3.154231548
208,3.173501968
209,3.161426783
210,3.158333302
211,3.166249275
212,3.132502079
213,3.099750996
214,3.135830402
215,3.135674477
216,3.163805723
217,3.105729103
218,3.112018585
219,3.102457047
220,3.151854515
221,3.130360842
222,3.135654211
223,3.124427319
224,3.148911715
225,3.157960892
226,3.127797365
227,3.086797476
228,3.143089533
229,3.123136997
230,3.083305359
231,3.09508276
232,3.139508247
233,3.070048332
234,3.091426849
235,3.080971241
236,3.082530737
237,3.09376049
238,3.119920492
239,3.101894855
240,3.097149372
241,3.089959621
242,3.094443321
243,3.066846609
244,3.059803009
245,3.08082962
246,3.064411879
247,3.033549309
248,3.076875925
249,3.081515789
250,3.074504375
251,3.071405888
252,3.054178953
253,3.084282398
254,3.129817724
255,3.049084663
256,3.032294273
257,3.082851887
258,3.054004908
259,3.084542274
260,3.010304451
261,3.054675102
262,3.00508976
263,3.051609039
264,3.087684631
265,3.092618465
266,3.092070103
267,3.036230326
268,3.008290291
269,3.077811718
270,3.045486212
271,3.035720825
272,3.04041338
273,3.030157089
274,3.057901144
275,3.050384045
276,3.026587486
277,2.986895561
278,2.985206842
279,3.006575108
280,3.015216351
281,2.978904724
282,3.00453186
283,2.999177933
284,2.987402916
285,3.006122589
286,3.072718382
287,2.963464737
288,3.004600286
